page,title,description,name,type,titleLocation,showCommentArea,commentText,helpURL,helpURLTitle,correctAnswer
Collaboration and Communication,Are you running workflows before merging pull requests?,Running workflows before merging pull requests allows you to detect code issues early.,question1,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Collaboration and Communication,Are you performing automatic reviews on pull requests in workflows?,Performing automatic reviews on pull requests helps maintain code quality and reduces developer effort.,question2,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Collaboration and Communication,Are you integrating with a ticket tracking system in workflows?,Integrating with a ticket tracking system streamlines tracking and managing the development process.,question3,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Collaboration and Communication,Are you automatically labeling in workflows?,Automatically labeling helps classify and track issues and pull requests easily.,question4,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Collaboration and Communication,Are you using status badges in workflows?,Using status badges visually displays the current state of projects and facilitates easy information sharing.,question5,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Collaboration and Communication,Are you automating notifications to reviewers in workflows?,Automating notifications to reviewers streamlines pull request and code review processes.,question6,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Collaboration and Communication,Are you setting merge conditions for pull requests in workflows?,"Setting merge conditions for pull requests allows you to control code quality, test passage, and merge decisions.",question7,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Collaboration and Communication,Are you sending notifications for specific events in workflows?,Sending notifications for specific events informs stakeholders about important information.,question8,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Security and Permission Management,Are you using environment variables within workflows?,Using environment variables within workflows allows flexible management of settings and parameters.,question9,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Security and Permission Management,Are you using Secrets for security?,Using GitHub Secrets securely manages sensitive information like passwords and API keys.,question10,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Security and Permission Management,Are you automating continuous security scans in workflows?,"Using GitHub Actions, you can automate code security scans.",question11,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Security and Permission Management,Are you automatically resolving security alerts for dependencies in workflows?,Automatically resolving security alerts for dependencies maintains project safety.,question12,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Security and Permission Management,Are you running security scans before deployment in workflows?,Running security scans before deployment identifies potential security issues and allows for fixes.,question13,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Security and Permission Management,Are you using dedicated actions to maintain code formatting consistency in workflows?,Using dedicated actions for code formatting consistency ensures code style alignment.,question14,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Security and Permission Management,Are you setting restrictions on permissions in workflows?,Limiting execution permissions in workflows enhances security and prevents unauthorized actions.,question15,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Security and Permission Management,Are you granting different permissions per job in workflows?,Granting different permissions per job allows controlling execution permissions for each step.,question16,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Security and Permission Management,Are you setting minimal required permissions in workflows?,Setting minimal required permissions minimizes resource misuse and risks.,question17,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Security and Permission Management,Are you controlling executor permissions in workflows?,Controlling executor permissions restricts workflow execution to specific users.,question18,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Security and Permission Management,Are you limiting repository access rights in workflows?,Limiting the range of repositories accessible by workflows prevents leaks and misuse of information.,question19,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Security and Permission Management,Are you appropriately controlling access from GitHub Actions to external services connected to workflows?,Limiting access from workflows to external services enhances security and resource management.,question20,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Security and Permission Management,Are you documenting the process of granting and revoking access rights in workflows?,Documenting the process of access rights management clarifies permissions and prevents human errors.,question21,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Deployment and Release Management,Are you storing artifacts?,Storing artifacts allows referencing files generated as workflow results.,question22,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Deployment and Release Management,Are you automating deployments using GitHub Actions?,Automating deployments using GitHub Actions enables automated application deployment.,question23,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Deployment and Release Management,Are you automating database migration in workflows?,Automating database migration efficiently manages database updates.,question24,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Deployment and Release Management,Are you automating deployment to staging environments in workflows?,Automating deployment to staging environments facilitates efficient pre-release testing.,question25,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Deployment and Release Management,Are you automating deployment to production environments in workflows?,Automating deployment to production environments streamlines the release process.,question26,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Deployment and Release Management,Are you automating rollbacks in workflows?,Automating rollbacks ensures swift and reliable recovery in case of issues.,question27,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Deployment and Release Management,Are you automatically generating release notes in workflows?,Automatically generating release notes improves communication with users about release details.,question28,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Deployment and Release Management,Are you using build caching in workflows?,Using build caching reduces build time and enhances development efficiency.,question29,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Deployment and Release Management,Are you practicing continuous delivery (CD) in workflows?,"Continuous delivery keeps software in a release-ready state at all times, streamlining the release process.",question30,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Deployment and Release Management,Are you running tests for each environment in workflows?,Running environment-specific test suites ensures test coverage for each environment.,question31,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Deployment and Release Management,Are you monitoring deploy logs and notifications in workflows?,Monitoring deploy logs and notifications in workflows provides real-time insights into deployment status and issues.,question32,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Development Efficiency and Troubleshooting,Do you tolerate workflow failures in case of errors?,Configuring workflow steps to continue despite failures allows for better error handling.,question33,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Development Efficiency and Troubleshooting,Are you implementing appropriate log outputs to debug workflow errors?,Appropriate log outputs aid in identifying and resolving issues effectively.,question34,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Development Efficiency and Troubleshooting,Are you setting up automatic error notifications in workflows?,Setting up automatic error notifications detects application issues early for quick responses.,question35,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Development Efficiency and Troubleshooting,Are you capturing step-level information in case of workflow execution errors?,Identify the specific step where an error occurred.,question36,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Development Efficiency and Troubleshooting,Are you collecting logs from containers or virtual environments in case of workflow execution errors?,Identify the cause of the problem.,question37,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Development Efficiency and Troubleshooting,Are you monitoring network traffic and API requests in case of workflow execution errors?,Identify connectivity and response issues with external resources.,question38,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Best Practices and Quality Management,Are you automating Lint checks in your workflow?,Automating Lint checks helps maintain code quality and detect errors early.,question39,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Best Practices and Quality Management,Are you automatically generating test coverage reports in your workflow?,Automatic test coverage report generation allows evaluation of code test scope and quality.,question40,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Best Practices and Quality Management,Are you ensuring code quality and managing test coverage in your workflow?,Adhere to GitHub Actions best practices for ensuring code quality and managing test coverage?,question41,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Monitoring and Log Management,Are you monitoring workflow performance?,Monitoring workflow performance helps identify necessary optimizations.,question42,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Monitoring and Log Management,Are you automatically integrating with bug tracking systems in your workflow?,Integration with bug tracking systems streamlines bug reporting,question43,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Monitoring and Log Management,Are you visualizing and monitoring deployment in your workflow?,Monitoring deployment progress and performance for better visibility.,question44,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Monitoring and Log Management,Are you scaling and executing deployments in parallel in your workflow?,Enable large-scale deployments and performance improvements in workflows.,question45,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Monitoring and Log Management,Are you controlling the timing and frequency of deployments in your workflow?,Flexible scheduling of deployments is possible through workflow management.,question46,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Monitoring and Log Management,Are you tracking and managing deployment history in your workflow?,Facilitate change tracking and issue identification through workflow management.,question47,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Monitoring and Log Management,Are you monitoring execution time and performance of your workflow?,Identify delays and bottlenecks to find opportunities for improvement.,question48,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Monitoring and Log Management,Are you aggregating and visualizing metrics and monitoring data in your workflow?,Understand execution trends and performance patterns through data aggregation and visualization.,question49,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Monitoring and Log Management,Are you retaining workflow execution history and statistical data?,Access and analyze past execution data for reference and analysis.,question50,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Monitoring and Log Management,Are you integrating workflow monitoring results with external services or tools?,Perform broader monitoring and analysis through integration with external services and tools.,question51,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Monitoring and Log Management,Are you focusing on specific metrics and key performance indicators in workflow monitoring?,Emphasize important aspects in monitoring and analysis.,question52,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Resource Management and Optimization,Are you automatically scaling up/down servers in your workflow?,Automatic server scaling optimizes resource usage,question53,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Resource Management and Optimization,Are you allocating dedicated resources to the environment in your workflow?,Allocate specific resources to control workflow execution environment and optimize resource usage.,question54,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Resource Management and Optimization,Are you executing environment-specific setup scripts in your workflow?,Automate setup and configuration for environment-specific needs.,question55,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Resource Management and Optimization,Are you using self-hosted runners?,Build and execute workflows on your own runner machines.,question56,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
