"page","title","description","type","titleLocation","showCommentArea","commentText","helpURL","helpURLTitle","correctAnswer"
"Identity","Do you have more than one Enterprise Admin? ","This helps you make sure you do not lose access to your Enterprise","boolean","top","FALSE","Comment","https://docs.github.com/en/enterprise-cloud@latest/admin/identity-and-access-management/using-enterprise-managed-users-for-iam/about-enterprise-managed-users#about-organization-membership-management","About organization membership management","TRUE"
"Identity","Have you setup billing managers?","This is a limited role to allow management of billing settings","boolean","top","FALSE","Comment","https://docs.github.com/en/enterprise-cloud@latest/admin/identity-and-access-management/using-enterprise-managed-users-for-iam/about-enterprise-managed-users#about-enterprise-managed-users","About Enterprise Managed Users","TRUE"
"Identity","Are you syncronizing IdP groups which you can link to GitHub Teams?",,"boolean","top","FALSE","Comment","https://docs.github.com/en/enterprise-cloud@latest/admin/identity-and-access-management/using-enterprise-managed-users-for-iam/managing-team-memberships-with-identity-provider-groups","Managing team memberships with identity provider groups","TRUE"
"Policies - repos","Have you selected the types of repos you want your users to create?","public/private/internal (EMU does not have public)","boolean","top","FALSE","Comment","https://docs.github.com/en/enterprise-cloud@latest/organizations/managing-organization-settings/restricting-repository-creation-in-your-organization","Restricting repository creation in your organization","TRUE"
"Policies - repos","Have you decided if you want forking enabled/disabled for all orgs?",,"boolean","top","FALSE","Comment","https://docs.github.com/en/enterprise-cloud@latest/admin/policies/enforcing-policies-for-your-enterprise/enforcing-repository-management-policies-in-your-enterprise","Repository governance",
"Policies - repos","Have you considered who can change repository visibility?","You can restrict users from changing repository visibility between public/private/internal","boolean","top","FALSE","Comment","https://docs.github.com/en/enterprise-cloud@latest/admin/policies/enforcing-policies-for-your-enterprise/enforcing-repository-management-policies-in-your-enterprise","Repository governance","TRUE"
"Policies - repos","Do you allow deletion/transfer of repos by members or just org owners?",,"boolean","top","FALSE","Comment","https://docs.github.com/en/enterprise-cloud@latest/admin/policies/enforcing-policies-for-your-enterprise/enforcing-repository-management-policies-in-your-enterprise","Repository governance","TRUE"
"Policies - repos","Do you allow issues to be deleted by members or just org owners?",,"boolean","top","FALSE","Comment","https://docs.github.com/en/enterprise-cloud@latest/admin/policies/enforcing-policies-for-your-enterprise/enforcing-repository-management-policies-in-your-enterprise","Repository governance","TRUE"
"Codespaces","Are you enabling Codespaces enterprise wide?",,"boolean","top","FALSE","Comment","https://docs.github.com/en/enterprise-cloud@latest/admin/policies/enforcing-policies-for-your-enterprise/enforcing-policies-for-github-codespaces-in-your-enterprise","Codespaces governance",
"GitHub Copilot for Business","Will you block matching public code suggestions for all orgs? ",,"boolean","top","FALSE","Comment","https://docs.github.com/en/enterprise-cloud@latest/admin/policies/enforcing-policies-for-your-enterprise/enforcing-policies-for-github-copilot-in-your-enterprise","Copilot information","TRUE"
